epoch,train_loss,train_acc,train_pos_acc,train_neg_acc,train_tp,train_fp,train_fn,train_tn,train_precision,train_recall,train_f1,val_loss,val_acc,val_pos_acc,val_neg_acc,val_tp,val_fp,val_fn,val_tn,val_precision,val_recall,val_f1,lr,weight_decay,pos_weight,saved_best_model
1,833.6239586418839,0.5060907878806238,0.6442806177626932,0.46190549627430444,4410825.0,11521305.0,2435299.0,9889999.0,0.27685092953672863,0.6442806177626932,0.3872838541531761,262.5464620050394,0.3522057493460927,0.9998377800020709,0.14702554185476924,1738098.0,4680299.0,282.0,806734.0,0.2707993911875504,0.9998377800020709,0.4261727395514184,5e-05,1e-06,21,1
2,514.2189201246506,0.4320979248359051,0.851655038675899,0.297947289898831,5830536.0,15031864.0,1015588.0,6379440.0,0.2794758033591533,0.851655038675899,0.4208478228576881,330.70737471670475,0.3534748809514418,0.9998590641861963,0.14869001152353192,1738135.0,4671166.0,245.0,815867.0,0.2711894791647326,0.9998590641861963,0.4266575974194375,5e-05,1e-06,21,0
3,471.7511956816036,0.4342114222143643,0.880220545231141,0.2916029308630619,6026099.0,15167705.0,820025.0,6243599.0,0.284333053188564,0.880220545231141,0.4298227156646051,320.48788768840285,0.3565477848809473,0.9998487097182435,0.1527397411315004,1738117.0,4648945.0,263.0,838088.0,0.27213091089455527,0.9998487097182435,0.4278209111578176,5e-05,1e-06,21,0
4,442.11971329964734,0.44819231247797925,0.8820412835058202,0.30947194995690125,6038564.0,14785106.0,807560.0,6626198.0,0.289985578910922,0.8820412835058202,0.4364733615291823,298.5953277012087,0.3617690781135971,0.9998101680875298,0.1596274343529554,1738050.0,4611152.0,330.0,875881.0,0.2737430625139978,0.9998101680875298,0.42980707954491215,5e-05,1e-06,21,0
5,408.53624446923135,0.4620295237061207,0.8850700045748514,0.32676510501181993,6059299.0,14414837.0,786825.0,6996467.0,0.295948947491606,0.8850700045748514,0.44357550037957183,265.4152069811551,0.37110473823434037,0.9995587846155616,0.17200042354401732,1737613.0,4543261.0,767.0,943772.0,0.27665146602208546,0.9995587846155616,0.43336026019377866,5e-05,1e-06,21,0
6,381.62403688837566,0.47817342045426076,0.8854061071637032,0.3479634402463297,6061600.0,13960953.0,784524.0,7450351.0,0.30273861679876685,0.8854061071637032,0.4512019702347086,230.76655045995173,0.3900484304495812,0.9991141177418056,0.1970866586732757,1736840.0,4405612.0,1540.0,1081421.0,0.282760044360135,0.9991141177418056,0.44077579626110547,5e-05,1e-06,21,1
7,345.4760882119997,0.4948545210838014,0.886391628314065,0.3696630994543817,6068347.0,13496335.0,777777.0,7914969.0,0.3101684453649694,0.886391628314065,0.45953516147897944,200.92969059494305,0.4196648689839598,0.9988172896604885,0.23618009951826424,1736324.0,4191105.0,2056.0,1295928.0,0.29293037504118563,0.9988172896604885,0.4530047644025569,5e-05,1e-06,21,1
8,314.2714822055039,0.5076123347107174,0.887742757799888,0.3860681255097774,6077597.0,13145082.0,768527.0,8266222.0,0.31616805337070863,0.887742757799888,0.4662735761208522,178.44931303780035,0.4521248819963648,0.9986148022871869,0.2789881161640544,1735972.0,3956216.0,2408.0,1530817.0,0.3049744667604092,0.9986148022871869,0.4672514940984323,5e-05,1e-06,21,1
9,287.9853157838939,0.5189638632362435,0.8880347478368782,0.4009558689185862,6079596.0,12826316.0,766528.0,8584988.0,0.3215711572126222,0.8880347478368782,0.47216429799958337,167.4592327621748,0.47074347168805436,0.9984255456229363,0.3035653330315309,1735643.0,3821360.0,2737.0,1665673.0,0.312334364404698,0.9984255456229363,0.4758195697196433,5e-05,1e-06,21,1
10,261.40182265512186,0.5282810240195959,0.89011168947568,0.4125880422789756,6093815.0,12577256.0,752309.0,8834048.0,0.3263773674257893,0.89011168947568,0.47762420595210403,150.70103810868173,0.49483607373031824,0.9978623776159413,0.3354692782055439,1734664.0,3646302.0,3716.0,1840731.0,0.3223703699298602,0.9978623776159413,0.487309929872772,5e-05,1e-06,21,1
11,233.8957215982591,0.5367786480779496,0.8910081091140037,0.4235161015882078,6099952.0,12343272.0,746172.0,9068032.0,0.3307421739279423,0.8910081091140037,0.48241275338533834,136.82783475911842,0.5174648148140459,0.9972019926598327,0.36547638769440605,1733516.0,3481652.0,4864.0,2005381.0,0.33239887957588327,0.9972019926598327,0.4985989886026529,5e-05,1e-06,21,1
12,211.94026701145262,0.5457721417533117,0.8923704858398709,0.43494959484952433,6109279.0,12098466.0,736845.0,9312838.0,0.33553188492040065,0.8923704858398709,0.4876914619454583,122.44808848399036,0.5499644103388969,0.9963057559336854,0.4085563181413343,1731958.0,3245271.0,6422.0,2241762.0,0.3479763539109814,0.9963057559336854,0.5158007263377007,5e-05,1e-06,21,1
13,186.78061390375075,0.554775650494447,0.8940358077066674,0.4462994407066473,6120680.0,11855451.0,725444.0,9555853.0,0.34048928548640417,0.8940358077066674,0.4931606737582867,105.84986168483518,0.5805978149622727,0.9950022434680564,0.44930784998012585,1729692.0,3021666.0,8688.0,2465367.0,0.3640416066311989,0.9950022434680564,0.5330544931089668,5e-05,1e-06,21,1
14,166.7035558438414,0.5634413365575947,0.895084284187666,0.45740067956627023,6127858.0,11617759.0,718266.0,9793545.0,0.34531670552790583,0.895084284187666,0.49836715505421103,94.08814502212236,0.6071428719714707,0.9938212588732038,0.4846369613596273,1727639.0,2827814.0,10741.0,2659219.0,0.37924636693650443,0.9938212588732038,0.5489942297483902,5e-05,1e-06,21,1
15,147.92753161751264,0.5715771442468154,0.8965008521610184,0.4676849200777309,6137556.0,11397560.0,708568.0,10013744.0,0.35001513534327344,0.8965008521610184,0.5034654513060042,84.99659484287479,0.6187927250663734,0.9929215706577388,0.5002627102844105,1726075.0,2742075.0,12305.0,2744958.0,0.38630641316876113,0.9929215706577388,0.5562125696645307,5e-05,1e-06,21,1
16,130.19897160823876,0.5791087922085478,0.8977998353520912,0.47720942171481007,6146449.0,11193628.0,699675.0,10217676.0,0.35446491961944576,0.8977998353520912,0.5082608054071824,76.69780986713913,0.6232027151942733,0.9924228304513397,0.5062278648588409,1725208.0,2709344.0,13172.0,2777689.0,0.38903772015752663,0.9924228304513397,0.5589590165580959,5e-05,1e-06,21,1
17,115.24160026261026,0.584959855511266,0.8990269530613234,0.48453896128885937,6154850.0,11036693.0,691274.0,10374611.0,0.35801614782338037,0.8990269530613234,0.5121004463536333,67.49125790146162,0.629885931779955,0.9916922652124391,0.515259886353882,1723938.0,2659785.0,14442.0,2827248.0,0.3932588806363906,0.9916922652124391,0.5631849055790142,5e-05,1e-06,21,1
18,100.85293337745124,0.5910513865593146,0.901044445002749,0.4919331396163447,6168662.0,10878374.0,677462.0,10532930.0,0.3618612643277107,0.901044445002749,0.5163538016737845,59.45691817661501,0.6363446629279185,0.9909835594058837,0.5239893764079786,1722706.0,2611886.0,15674.0,2875147.0,0.3974320997224191,0.9909835594058837,0.5673354001961478,5e-05,1e-06,21,1
